생약품목코드,일반명,생약명,라틴명,원물생약명,학명,사용부위
KMH663,지구자,Hovenia Seed,Hoveniae Semen seu Fructus,헛개나무,Hovenia dulcis Thunb.,열매
KMH666,지모,Anemarrhena Rhizome,Anemarrhee Rhizoma,지모,Anemarrhe asphodeloides Bunge,뿌리줄기
KMH668,지부자,Kochia Fruit,Kochiae Fructus,댑싸리,Kochia scoparia Schrader,열매
KMH669,지각,Poncirus Fruit,Ponciri Fructus Immaturus,탱자나무,Poncirus trifoliata Rafinesque,열매
KMH670,지유,Sanguisorba Root,Sanguisorbae Radix,"오이풀, 긴잎오이풀",Sanguisorba officilis Linn,뿌리
KMH673,지황,Rehmannia Root,Rehmanniae Radix,지황,Rehmannia glutinosa Liboschitz,뿌리
KMH674,진교,Gentian Root,Gentiae Macrophyllae Radix,"진교, 큰잎용담",Gentia macrophylla Pallas,뿌리
KMH677,진피,Ash Bark,Fraxini Cortex,물푸레나무,Fraxinus rhynchophylla Hance,줄기껍질
KMH678,진피(귤피),Citrus Peel,Citri Unshius Pericarpium,귤나무,Citrus unshiu Markovich,열매껍질
KMH680,질경이,Tribulus Fruit,Tribuli Fructus,남사자,Tribulus terrestris Linn,열매
KMH682,차전자,Plantago Seed,Plantaginis Semen,질경이,Plantago asiatica Linn,씨
KMH684,차전초,Plantago Herb,Plantaginis Herba,질경이,Plantago asiatica Linn,전초
KMH685,창이자,Xanthium Fruit,Xanthii Fructus,도꼬마리,Xanthium strumarium Linn,열매
KMH686,창출,Atractylodes Rhizome,Atractylodis Rhizoma,"모창출, 남창출",Atractylodes lancea De Candlle,뿌리줄기
KMH689,천궁,Cnidium Rhizome,Cnidii Rhizoma,"일천궁, 중국천궁",Cnidium officile Makino,뿌리줄기
KMH692,천남성,Arisaema Rhizome,Arisaematis Rhizoma,"둥근잎천남성, 천남성",Arisaema amurense Maximowicz,덩이뿌리
KMH695,천마,Gastrodia Rhizome,Gastrodiae Rhizoma,천마,Gastrodia elata Blume,덩이줄기
KMH697,천문동,Asparagus Tuber,Asparagi Tuber,천문동,Asparagus cochinchinensis Merrill,덩이뿌리
KMH704,천오,Aconite Tuber,Aconiti Tuber,오두,Aconitum carmichaeli Debeaux,모근
KMH705,천초,Madder Root,Rubiae Radix,꼭두서니,Rubia akane kai,뿌리
KMH707,천패모,Fritillaria Bulb,Fritillariae Cirrhosae Bulbus,"천패모, 암패모",Fritillaria cirrhosa D. Don,비늘줄기
KMH714,청상자,Celosia Seed,Celosiae Semen,개맨드라미,Celosia argentea Linn,씨
KMH715,청피,Immature Citrus Peel,Citri Unshius Pericarpium Immaturus,귤나무,Citrus unshiu Markovich,미성숙열매껍질
KMH716,청호,Artemisia Annua Herb,Artemisiae Annuae Herba,개똥쑥,Artemisia annua Linn,지상부
KMH717,초과,Tsaoko Fruit,Amomi Tsaoko Fructus,초과,Amomum tsaoko Crevost,열매
KMH718,초두구,Alpinia Seed,Alpiniae Katsumadai Semen,초두구,Alpinia katsumadai Hayata,씨
KMH719,초오,Aconite Root,Aconiti Kusnezoffii Tuber,"이삭바가지, 싹눈바가지",Aconitum kusnezoffii Reichb.,덩이뿌리
KMH723,알기화,Althaea Flower,Althaeae Flos,접시꽃,Althaea rosea Cavanil,꽃
KMH725,총백,Fistular Onion,Allii Fistulosi Bulbus,대파,Allium fistulosum Linn,비늘줄기
KMH727,충울자,Motherwort Seed,Leonuri Semen,익모초,Leonurus japonicus Houtt.,씨
KMH729,측백엽,Thuja Leaf,Thujae Orientalis Folium,측백나무,Thuja orientalis Linn,"어린가지, 잎"
KMH730,치자,Gardenia Fruit,Gardeniae Fructus,치자나무,Gardenia jasminoides Ellis,열매
KMH732,칠피,Lacquer Bark,Rhois Vernicifluae Cortex,옻나무,Rhus verniciflua Stokes,줄기껍질
KMH736,택란,Lycopus Herb,Lycopi Herba,쉽싸리,Lycopus lucidus Turczaininov,지상부
KMH737,택사,Alisma Rhizome,Alismatis Rhizoma,개택사,Alisma orientale Juzepzuk,덩이줄기
KMH743,토복령,Smilax Rhizome,Smilacis Rhizoma,청미래덩굴,Smilax chi Linn,뿌리줄기
KMH744,토사자,Cuscuta Seed,Cuscutae Semen,갯실새삼,Cuscuta chinensis Lamark,씨
